Month;Ridership;Season;t
01/01/1991;1709;Jan;1
01/02/1991;1621;Feb;2
01/03/1991;1973;Mar;3
01/04/1991;1812;Apr;4
01/05/1991;1975;May;5
01/06/1991;1862;Jun;6
01/07/1991;1940;Jul;7
01/08/1991;2013;Aug;8
01/09/1991;1596;Sep;9
01/10/1991;1725;Oct;10
01/11/1991;1676;Nov;11
01/12/1991;1814;Dec;12
01/01/1992;1615;Jan;13
01/02/1992;1557;Feb;14
01/03/1992;1891;Mar;15
01/04/1992;1956;Apr;16
01/05/1992;1885;May;17
01/06/1992;1623;Jun;18
01/07/1992;1903;Jul;19
01/08/1992;1997;Aug;20
01/09/1992;1704;Sep;21
01/10/1992;1810;Oct;22
01/11/1992;1862;Nov;23
01/12/1992;1875;Dec;24
01/01/1993;1705;Jan;25
01/02/1993;1619;Feb;26
01/03/1993;1837;Mar;27
01/04/1993;1957;Apr;28
01/05/1993;1917;May;29
01/06/1993;1882;Jun;30
01/07/1993;1933;Jul;31
01/08/1993;1996;Aug;32
01/09/1993;1673;Sep;33
01/10/1993;1753;Oct;34
01/11/1993;1720;Nov;35
01/12/1993;1734;Dec;36
01/01/1994;1563;Jan;37
01/02/1994;1574;Feb;38
01/03/1994;1903;Mar;39
01/04/1994;1834;Apr;40
01/05/1994;1831;May;41
01/06/1994;1776;Jun;42
01/07/1994;1868;Jul;43
01/08/1994;1907;Aug;44
01/09/1994;1686;Sep;45
01/10/1994;1779;Oct;46
01/11/1994;1776;Nov;47
01/12/1994;1783;Dec;48
01/01/1995;1548;Jan;49
01/02/1995;1497;Feb;50
01/03/1995;1798;Mar;51
01/04/1995;1733;Apr;52
01/05/1995;1772;May;53
01/06/1995;1761;Jun;54
01/07/1995;1792;Jul;55
01/08/1995;1875;Aug;56
01/09/1995;1571;Sep;57
01/10/1995;1647;Oct;58
01/11/1995;1673;Nov;59
01/12/1995;1657;Dec;60
01/01/1996;1382;Jan;61
01/02/1996;1361;Feb;62
01/03/1996;1559;Mar;63
01/04/1996;1608;Apr;64
01/05/1996;1697;May;65
01/06/1996;1693;Jun;66
01/07/1996;1836;Jul;67
01/08/1996;1943;Aug;68
01/09/1996;1551;Sep;69
01/10/1996;1687;Oct;70
01/11/1996;1576;Nov;71
01/12/1996;1700;Dec;72
01/01/1997;1397;Jan;73
01/02/1997;1372;Feb;74
01/03/1997;1708;Mar;75
01/04/1997;1655;Apr;76
01/05/1997;1763;May;77
01/06/1997;1776;Jun;78
01/07/1997;1934;Jul;79
01/08/1997;2008;Aug;80
01/09/1997;1616;Sep;81
01/10/1997;1774;Oct;82
01/11/1997;1732;Nov;83
01/12/1997;1797;Dec;84
01/01/1998;1570;Jan;85
01/02/1998;1413;Feb;86
01/03/1998;1755;Mar;87
01/04/1998;1825;Apr;88
01/05/1998;1843;May;89
01/06/1998;1826;Jun;90
01/07/1998;1968;Jul;91
01/08/1998;1922;Aug;92
01/09/1998;1670;Sep;93
01/10/1998;1791;Oct;94
01/11/1998;1817;Nov;95
01/12/1998;1847;Dec;96
01/01/1999;1599;Jan;97
01/02/1999;1549;Feb;98
01/03/1999;1832;Mar;99
01/04/1999;1840;Apr;100
01/05/1999;1846;May;101
01/06/1999;1865;Jun;102
01/07/1999;1966;Jul;103
01/08/1999;1949;Aug;104
01/09/1999;1607;Sep;105
01/10/1999;1804;Oct;106
01/11/1999;1850;Nov;107
01/12/1999;1836;Dec;108
01/01/2000;1542;Jan;109
01/02/2000;1617;Feb;110
01/03/2000;1920;Mar;111
01/04/2000;1971;Apr;112
01/05/2000;1992;May;113
01/06/2000;2010;Jun;114
01/07/2000;2054;Jul;115
01/08/2000;2097;Aug;116
01/09/2000;1824;Sep;117
01/10/2000;1977;Oct;118
01/11/2000;1981;Nov;119
01/12/2000;2000;Dec;120
01/01/2001;1683;Jan;121
01/02/2001;1663;Feb;122
01/03/2001;2008;Mar;123
01/04/2001;2024;Apr;124
01/05/2001;2047;May;125
01/06/2001;2073;Jun;126
01/07/2001;2127;Jul;127
01/08/2001;2203;Aug;128
01/09/2001;1708;Sep;129
01/10/2001;1951;Oct;130
01/11/2001;1974;Nov;131
01/12/2001;1985;Dec;132
01/01/2002;1760;Jan;133
01/02/2002;1771;Feb;134
01/03/2002;2020;Mar;135
01/04/2002;2048;Apr;136
01/05/2002;2069;May;137
01/06/2002;1994;Jun;138
01/07/2002;2075;Jul;139
01/08/2002;2027;Aug;140
01/09/2002;1734;Sep;141
01/10/2002;1917;Oct;142
01/11/2002;1858;Nov;143
01/12/2002;1996;Dec;144
01/01/2003;1778;Jan;145
01/02/2003;1749;Feb;146
01/03/2003;2066;Mar;147
01/04/2003;2099;Apr;148
01/05/2003;2105;May;149
01/06/2003;2130;Jun;150
01/07/2003;2223;Jul;151
01/08/2003;2174;Aug;152
01/09/2003;1931;Sep;153
01/10/2003;2121;Oct;154
01/11/2003;2076;Nov;155
01/12/2003;2141;Dec;156
01/01/2004;1832;Jan;157
01/02/2004;1838;Feb;158
01/03/2004;2132;Mar;159
